tcp-traceroute from 58.65.173.14 to 95.216.247.80
 8  213.155.136.167  154.069 ms ICMP
 9  62.115.137.65  154.612 ms ICMP
10  *
11  *
12  186.2.163.90  206.737 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 185.233.185.53
 1  *
 2  172.16.36.134  1.143 ms ICMP
 3  58.65.165.42  0.843 ms ICMP
 4  203.135.5.69  1.091 ms ICMP
 5  *
 6  149.14.126.177  117.303 ms ICMP
 7  154.54.61.30  123.538 ms ICMP
 8  154.54.61.89  141.433 ms ICMP
 9  130.117.0.62  150.622 ms ICMP
10  154.54.59.181  146.774 ms ICMP
11  154.54.59.186  151.319 ms ICMP
12  154.54.59.178  152.511 ms ICMP
13  154.54.38.246  164.924 ms ICMP
14  130.117.2.237  189.721 ms ICMP
15  149.6.190.26  222.740 ms ICMP
16  77.120.1.94  224.834 ms ICMP
17  77.120.1.174  224.672 ms ICMP
18  *
19  185.233.185.53  224.896 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.16.118.93
 1  58.65.173.13  0.419 ms ICMP
 2  172.16.36.130  0.823 ms ICMP
 3  58.65.165.42  0.916 ms ICMP
 4  203.135.5.69  1.035 ms ICMP
 5  *
 6  185.1.15.41  43.595 ms ICMP
 7  104.16.118.93  42.837 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.22.76.166
 1  *
 2  172.16.36.134  1.040 ms ICMP
 3  58.65.165.42  0.916 ms ICMP
 4  119.63.136.181  0.682 ms ICMP
 5  110.93.255.226  20.203 ms ICMP
 6  110.93.252.172  19.641 ms ICMP
 7  27.111.228.132  100.635 ms ICMP
 8  104.22.76.166  99.756 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 190.220.57.135
 1  *
 2  172.16.36.134  1.436 ms ICMP
 3  58.65.165.42  0.842 ms ICMP
 4  203.135.5.69  1.004 ms ICMP
 5  *
 6  212.73.201.229  135.984 ms ICMP
 7  80.239.134.84  132.777 ms ICMP
 8  62.115.118.90  248.720 ms ICMP
 9  62.115.122.159  219.677 ms ICMP
10  62.115.119.231  263.243 ms ICMP
11  62.115.41.58  377.174 ms ICMP
12  131.100.186.105  380.129 ms ICMP
13  *
